file, mode, rule, result, duration
../test_files_z3/test.sleec, conflict, 18, sat, 0.09138035774230957
../test_files_z3/test.sleec, conflict, 19, sat, 0.09492230415344238
../test_files_z3/test.sleec, conflict, 20, sat, 0.04539847373962402
../test_files_z3/test4.sleec, redundancy, 0, sat, 0.02287459373474121
../test_files_z3/test4.sleec, redundancy, 1, sat, 0.02069687843322754
../test_files_z3/test4.sleec, redundancy, 2, sat, 0.01900768280029297
../test_files_z3/test4.sleec, conflict, 0, sat, 0.05647993087768555
../test_files_z3/test4.sleec, conflict, 1, sat, 0.0783991813659668
../test_files_z3/test4.sleec, conflict, 2, sat, 0.03094768524169922
../test_files_z3/test4.sleec, concern, 0, unsat, 0.08397340774536133
../test_files_z3/test3.sleec, redundancy, 0, sat, 0.023416757583618164
../test_files_z3/test3.sleec, redundancy, 1, sat, 0.02053976058959961
../test_files_z3/test3.sleec, redundancy, 2, sat, 0.01979517936706543
../test_files_z3/test3.sleec, conflict, 0, sat, 0.04943728446960449
../test_files_z3/test3.sleec, conflict, 1, sat, 0.07969117164611816
../test_files_z3/test3.sleec, conflict, 2, sat, 0.031719207763671875
../test_files_z3/test3.sleec, concern, 0, sat, 0.08957910537719727
../test_files_z3/dressingAssist/DRESSASSIST.sleec, redundancy, 0, sat, 0.05934882164001465
../test_files_z3/dressingAssist/DRESSASSIST.sleec, redundancy, 1, sat, 0.07335877418518066
../test_files_z3/dressingAssist/DRESSASSIST.sleec, redundancy, 2, sat, 0.049419403076171875
../test_files_z3/dressingAssist/DRESSASSIST.sleec, redundancy, 3, sat, 0.18338608741760254
../test_files_z3/dressingAssist/DRESSASSIST.sleec, redundancy, 4, sat, 0.1786501407623291
../test_files_z3/dressingAssist/DRESSASSIST.sleec, redundancy, 5, sat, 0.054612159729003906
../test_files_z3/dressingAssist/DRESSASSIST.sleec, redundancy, 6, sat, 0.08091616630554199
../test_files_z3/dressingAssist/DRESSASSIST.sleec, redundancy, 7, sat, 0.0646512508392334
../test_files_z3/dressingAssist/DRESSASSIST.sleec, redundancy, 8, sat, 0.053955793380737305
../test_files_z3/dressingAssist/DRESSASSIST.sleec, redundancy, 9, sat, 0.08435416221618652
../test_files_z3/dressingAssist/DRESSASSIST.sleec, redundancy, 10, sat, 0.05307579040527344
../test_files_z3/dressingAssist/DRESSASSIST.sleec, redundancy, 11, sat, 0.11556720733642578
../test_files_z3/dressingAssist/DRESSASSIST.sleec, redundancy, 12, sat, 0.08943605422973633
../test_files_z3/dressingAssist/DRESSASSIST.sleec, redundancy, 13, sat, 0.06346607208251953
../test_files_z3/dressingAssist/DRESSASSIST.sleec, redundancy, 14, sat, 0.08320832252502441
../test_files_z3/dressingAssist/DRESSASSIST.sleec, redundancy, 15, sat, 0.05453896522521973
../test_files_z3/dressingAssist/DRESSASSIST.sleec, redundancy, 16, sat, 0.054505348205566406
../test_files_z3/dressingAssist/DRESSASSIST.sleec, redundancy, 17, sat, 0.17249107360839844
../test_files_z3/dressingAssist/DRESSASSIST.sleec, redundancy, 18, sat, 0.051714181900024414
../test_files_z3/dressingAssist/DRESSASSIST.sleec, redundancy, 19, sat, 0.05654597282409668
../test_files_z3/dressingAssist/DRESSASSIST.sleec, redundancy, 20, sat, 0.05043959617614746
../test_files_z3/dressingAssist/DRESSASSIST.sleec, redundancy, 21, sat, 0.050046443939208984
../test_files_z3/dressingAssist/DRESSASSIST.sleec, redundancy, 22, sat, 0.10097837448120117
../test_files_z3/dressingAssist/DRESSASSIST.sleec, redundancy, 23, sat, 0.13705158233642578
../test_files_z3/dressingAssist/DRESSASSIST.sleec, redundancy, 24, sat, 0.05006551742553711
../test_files_z3/dressingAssist/DRESSASSIST.sleec, redundancy, 25, sat, 0.051323652267456055
../test_files_z3/dressingAssist/DRESSASSIST.sleec, redundancy, 26, sat, 0.050786495208740234
../test_files_z3/dressingAssist/DRESSASSIST.sleec, redundancy, 27, sat, 0.17884063720703125
../test_files_z3/dressingAssist/DRESSASSIST.sleec, redundancy, 28, sat, 0.061966657638549805
../test_files_z3/dressingAssist/DRESSASSIST.sleec, redundancy, 29, sat, 0.0503544807434082
../test_files_z3/dressingAssist/DRESSASSIST.sleec, redundancy, 30, sat, 0.29938650131225586
../test_files_z3/dressingAssist/DRESSASSIST.sleec, conflict, 0, sat, 0.09324455261230469
../test_files_z3/dressingAssist/DRESSASSIST.sleec, conflict, 1, sat, 0.07136821746826172
../test_files_z3/dressingAssist/DRESSASSIST.sleec, conflict, 2, sat, 0.050281524658203125
